"tzero","beta","delta","k","m","w","de","E50","r","q","p","c"
-3.21484230216096,6.01241755145991e-08,3.12502418387451,0.078348708944387,3.60999870466131,2.71838059755884e-05,1,100,10,2.38713107790612e-05,395.375524282964,15
-1.62913823452535,5.95653953664041e-08,3.05909856651446,0.0766493881563937,4.2097099525377,2.83441979007788e-05,1,100,10,2.38713107790612e-05,418.747374877956,15
-6.02627303371286,5.93397206029634e-08,3.13960608335686,0.0761347257593963,2.85015992770446,2.86050047027137e-05,1,100,10,2.38713107790612e-05,394.737523067703,15
2.90317468034799,5.75022689397476e-08,3.18168241572618,0.0748850382296249,6.28287850442896,2.83238616418685e-05,1,100,10,2.38713107790612e-05,394.168847533752,15
-1.35156021054069,5.99058929386919e-08,3.14133547788441,0.0785813405222545,2.68729409122927,2.72014772723716e-05,1,100,10,2.38713107790612e-05,400.113207626886,15
-9.65724400833279,5.8505109949223e-08,3.13552743883532,0.0777389627144385,1.97243744912696,2.78454097741373e-05,1,100,10,2.38713107790612e-05,392.843891910055,15
-11.150597483429,5.85635458043987e-08,3.12374805068333,0.0768666699805388,4.44648001840329,2.82307656266921e-05,1,100,10,2.38713107790612e-05,396.028249884445,15
-11.3863497701028,6.02081830103968e-08,3.07678053482738,0.0779663806886607,4.34448851899579,2.79008985371218e-05,1,100,10,2.38713107790612e-05,379.379440398568,15
-3.74289948250469,5.8611228249735e-08,3.14707977367159,0.07678492989746,4.73865265348801,2.73689666214507e-05,1,100,10,2.38713107790612e-05,393.292270532806,15
-9.03882616127301,5.78196604873915e-08,3.1627345309974,0.0784243487294483,2.61010445922914,2.87112617815666e-05,1,100,10,2.38713107790612e-05,392.071764411157,15
-11.0001901307729,5.9442699925927e-08,3.09744216364569,0.0769855019342491,5.63146247467683,2.80481200485845e-05,1,100,10,2.38713107790612e-05,382.675647460338,15
-6.55756562816611,5.92723462024001e-08,3.05921801147743,0.0773502283045464,2.24288541090685,2.85050251935701e-05,1,100,10,2.38713107790612e-05,391.250899214454,15
-4.73202534347105,5.89119918733233e-08,3.09872489209364,0.0787717474987619,6.64665650801825,2.80060285836749e-05,1,100,10,2.38713107790612e-05,400.350454334261,15
-6.69213795036837,5.78982082968699e-08,3.10625630808517,0.0787976029681668,2.77149364179221,2.7461065165475e-05,1,100,10,2.38713107790612e-05,389.602748535306,15
-4.43485422770159,5.91319020750595e-08,3.20101765257984,0.0763753012381953,7.09668880667354,2.76047028261994e-05,1,100,10,2.38713107790612e-05,402.686959038977,15
3.3196755809627,5.86906608285162e-08,3.1140930027907,0.0795475599251195,3.93116237153289,2.83680123370257e-05,1,100,10,2.38713107790612e-05,388.140282981855,15
